comunidad_au,provincia,municipio,pueblo,latitude,longitude
Andalucía,Provincia de Almería,Abla,Abla,37.14245,-2.77808
Andalucía,Provincia de Almería,Abla,El Camino Real,37.14957,-2.7817
Andalucía,Provincia de Almería,Abla,El Serval,37.1,-2.76667
Andalucía,Provincia de Almería,Abla,La Fuente Mendoza,37.18878,-2.75142
Andalucía,Provincia de Almería,Abla,Las Adelfas,37.1706,-2.77008
Andalucía,Provincia de Almería,Abla,Las Torrecillas,37.16284,-2.76742
Andalucía,Provincia de Almería,Abrucena,Abrucena,37.13226,-2.79711
Andalucía,Provincia de Almería,Abrucena,Los Monjos,37.11667,-2.8
Andalucía,Provincia de Almería,Abrucena,Pago de Escuchagranos,37.15209,-2.80112
Andalucía,Provincia de Almería,Adra,Adra,36.74831,-3.02076
Andalucía,Provincia de Almería,Adra,Buenavista,36.78333,-3.1
Andalucía,Provincia de Almería,Adra,Cuesta Vieja,36.80825,-3.13745
Andalucía,Provincia de Almería,Adra,Campillo de Deleitosa,36.75677,-2.99343
Andalucía,Provincia de Almería,Adra,El Puente del Río,36.75649,-2.98433
Andalucía,Provincia de Almería,Adra,Guainos Altos,36.76007,-3.06484
Andalucía,Provincia de Almería,Adra,Alcazaba Park,36.7492,-3.09368
Andalucía,Provincia de Almería,Adra,Alquería de la Condesa,36.77835,-3.0027
Andalucía,Provincia de Almería,Adra,La Fuente Santilla,36.75,-2.98333
Andalucía,Provincia de Almería,Adra,La Parra,36.78186,-3.0682
Andalucía,Provincia de Almería,Adra,La Romera,36.77388,-3.03255
Andalucía,Provincia de Almería,Adra,Las Hoyas del Barranco,36.7643,-3.13093
Andalucía,Provincia de Almería,Adra,Los Clementes,36.82202,-3.07508
Andalucía,Provincia de Almería,Adra,Los Curros,36.7809,-3.02357
Andalucía,Provincia de Almería,Adra,Los Dagas,36.79304,-3.10587
Andalucía,Provincia de Almería,Adra,Los Enríquez,36.77731,-3.02675
Andalucía,Provincia de Almería,Adra,Los Pérez,36.78669,-3.07799
Andalucía,Provincia de Almería,Adra,Los Valentines,36.8034,-3.07687
Andalucía,Provincia de Almería,Albánchez,Albanchez,37.28361,-2.18229
Andalucía,Provincia de Almería,Albánchez,El Barranco del Infierno,37.30357,-2.14707
Andalucía,Provincia de Almería,Albánchez,La Fuente del Tío Molina,37.30475,-2.1812
Andalucía,Provincia de Almería,Albánchez,La Piedra del Zahor,37.27838,-2.13272
Andalucía,Provincia de Almería,Albánchez,La Tía Lucía,37.27124,-2.12917
Andalucía,Provincia de Almería,Albánchez,Los Utreras,37.28402,-2.13447
Andalucía,Provincia de Almería,Alboloduy,Alboloduy,37.03346,-2.62164
Andalucía,Provincia de Almería,Alboloduy,Gebera,37.06394,-2.54377
Andalucía,Provincia de Almería,Alboloduy,Las Alcubillas,37.09051,-2.58276
Andalucía,Provincia de Almería,Alboloduy,Las Alcubillas Altas,37.09201,-2.58511
Andalucía,Provincia de Almería,Albox,Albox,37.38856,-2.14949
Andalucía,Provincia de Almería,Albox,Llano del Espino,37.43333,-2.17654
Andalucía,Provincia de Almería,Albox,El Lugarico,37.48333,-2.15
Andalucía,Provincia de Almería,Albox,As Galeras Park,37.48333,-2.15
Andalucía,Provincia de Almería,Albox,La Aljambra,37.39331,-2.11414
Andalucía,Provincia de Almería,Albox,La Escurría,37.46667,-2.1
Andalucía,Provincia de Almería,Albox,Las Pocicas,37.47826,-2.14972
Andalucía,Provincia de Almería,Albox,Llano de los Olleres,37.42573,-2.16567
Andalucía,Provincia de Almería,Albox,Locaiba,37.41008,-2.15624
Andalucía,Provincia de Almería,Albox,Los Blases,37.46667,-2.1
Andalucía,Provincia de Almería,Albox,Los Carmonas,37.4,-2.13333
Andalucía,Provincia de Almería,Albox,Los Graneros de Abajo,37.44053,-2.15568
Andalucía,Provincia de Almería,Albox,Los Marcelinos,37.43548,-2.12023
